index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
bec625b12f1f9ca1ecea3acedabc6659,2025-10-08T16:37:06Z,'avalanche missing',www.cbsnews.com,en,0.0,Body recovered 7 months after avalanche in Alaska; 2 still missing,"David Linder, Charles Eppard, and Jeremy Leif were heliskiing together on March 4 when they were swept away by an avalanche.",https://www.cbsnews.com/news/body-recovered-alaska-avalanche-deaths/,https://assets2.cbsnewsstatic.com/hub/i/r/2025/03/05/9a75d824-7cf7-4d98-b05b-7af0f0586332/thumbnail/1200x630/45d8508c12c8442edf9da5e9172abd36/ap25064738076524.jpg,http://web.archive.org/web/20251008171651/https://www.cbsnews.com/news/body-recovered-alaska-avalanche-deaths/,"The body of one of the three skiers who went missing in an avalanche in Alaska seven months ago has been found, authorities said Tuesday. 
David Linder, 39, Charles Eppard, 39, and Jeremy Leif, 38, … [+2244 chars]",
fd4295fed75997187d0a6b2e1d1c30e8,2025-10-08T20:03:47Z,'avalanche ski',www.nbcnews.com,en,0.0,Body of skier recovered 7 months after Alaska avalanche buried him and 2 others,"The body of a skier who was caught in an avalanche in the Alaska backcountry seven months ago has been recovered, authorities said Tuesday.",https://www.nbcnews.com/news/us-news/body-skier-recovered-7-months-alaska-avalanche-rcna236493,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-10/251008-girdwood-alaska-se-333p-cf9f67.jpg",http://web.archive.org/web/20251009003604/https://www.nbcnews.com/news/us-news/body-skier-recovered-7-months-alaska-avalanche-rcna236493,"The body of a skier who was caught in an avalanche in the Alaska backcountry seven months ago has been recovered, authorities said Tuesday. Two other men remain missing. 
David Linder, 39, Charles E… [+1803 chars]",
691e9673365c5717fade79aca082ada6,2025-10-12T17:51:12Z,'avalanche rescue',statetimes.in,en,0.1,Strengthening Disaster Management for Sustainable Development,Dr. Banarsi LalEvery year 13th of October is observed as the International Day for Natural Disaster Risk Reduction across the globe to create awarenesss on the risk of disaster reduction.This day was started in 1989 by the United Nations General Assembly.The …,https://statetimes.in/strengthening-disaster-management-for-sustainable-development/,https://statetimes.in/wp-content/uploads/2023/03/319526318_5727891263973556_9016205861254904172_n-1024x1024.jpg,,Dr. Banarsi LalEvery year 13th of October is observed as the International Day for Natural Disaster Risk Reduction across the globe to create awarenesss on the risk of disaster reduction.This day was… [+8360 chars],
57fa83d162d1f6256b43dabb5b46da3e,2025-10-13T15:55:00Z,'avalanche rescue',www.nzherald.co.nz,en,0.1,All paws and panic: Dog’s chase turns into stream rescue drama – Kevin Page,OPINION: A soaked dog owner leaps into a rain-swollen stream to rescue her runaway pet.,https://www.nzherald.co.nz/northern-advocate/news/all-paws-and-panic-dogs-chase-turns-into-stream-rescue-drama-kevin-page/YANH66O5ZZGONDMLF7X47O5NK4/,https://www.nzherald.co.nz/resizer/v2/DKQ3GRYXNVHHNJBM3N3NHPMTGE.jpg?auth=17a26281eab3bf4d099a9f0afb5ceb9d9f212711631d0592de3a525cb96af81a&width=1200&height=675&quality=70&focal=1718%2C916&smart=false,,"Shes donating a jacket she bought at op shop number four just the day before. I cant even begin to work out how to explain that but if you feel a slight breeze, thats the wind disturbance caused by m… [+3520 chars]",
04cbb74ff5549308b500049b64d20289,2025-10-13T18:19:11Z,'avalanche climate change',www.businessinsider.com,en,0.1,"What life is like in the world's northernmost town, where it's dark for 4 months a year and polar bears roam free","The northernmost town in the world, Longyearbyen, is 800 miles from the North Pole, but home to over 2,000 people.",https://www.businessinsider.com/longyearbyen-svalbard-worlds-northernmost-town-photos,https://i.insider.com/68e7c9f41c1f80efbec541d5?width=1200&format=jpeg,,"Longyearbyen, Norway, is the northernmost town in the world.ginger_polina_bublik/Shutterstock
<ul><li>The world's northernmost town is Longyearbyen in the Norwegian archipelago of Svalbard.</li><li>… [+16522 chars]",
9f51fdeee8fbf6868ac632eeee207f13,2025-10-14T00:00:00Z,'avalanche climate change',www.nature.com,en,0.1,The race to uncover snow’s many mysteries before it disappears forever,Historian brings icy climate warnings and warm personal memories.,https://www.nature.com/articles/d41586-025-03310-2,https://media.nature.com/lw1200/magazine-assets/d41586-025-03310-2/d41586-025-03310-2_51543480.jpg,,"Snö: A HistorySverker Sörlin Doubleday (2025)
As a child growing up in northern Sweden, environmental historian Sverker Sörlin fell in love with snow. I see the light outside, before I even open the… [+3016 chars]",
eeebe8d30be56698302cbac036350a0a,2025-10-14T13:40:10Z,'avalanche search',www.denverpost.com,en,0.1,Avalanche “dodged a bullet” when Brock Nelson’s wrist was cut by Bo Byram’s skate,"Brock Nelson will celebrate his 34th birthday Wednesday, which means he's experienced a lot in his life as a hockey player.",https://www.denverpost.com/2025/10/14/brock-nelson-skate-cut-avalanche-byram/,https://www.denverpost.com/wp-content/uploads/2025/10/AP25285789935563.jpg?w=1024&h=685,,"BUFFALO — Brock Nelson will celebrate his 34th birthday on Wednesday, which means he’s experienced a lot in his life as a hockey player.
Nelson encountered a first Monday afternoon at KeyBank Center… [+3533 chars]",
66352e242585390b324b446039193a0e,2025-10-14T15:53:29Z,'avalanche search',thehockeynews.com,en,0.1,The Top 100 CHL Players To Watch In 2025-26,"For years, I've done a <a href=""https://thehockeynews.com/news/latest-news/the-top-100-ncaa-players-to-watch-in-2025-26"">top 100 NCAA hockey players to
watch list</a>, and for some reason, despite the fact the CHL has about the same
number of teams, I always …",https://thehockeynews.com/news/latest-news/the-top-100-chl-players-to-watch-in-2025-26,https://deweb-519a7.b-cdn.net/post-images/64023326-feca-4c55-95e2-402fbdc3bae1.jpeg,,"For years, I've done a top 100 NCAA hockey players to
watch list, and for some reason, despite the fact the CHL has about the same
number of teams, I always felt a major junior list would be harder… [+20151 chars]",
5678f7d85251e518ca0f43278706c09e,2025-10-14T22:27:36Z,'avalanche search',www.skeptic.com,en,0.1,Boredom,"This enlightening essay explores how modern life has eradicated true boredom—replacing it with constant stimulation, digital dependency, and cultural emptiness. But in rejecting boredom, we’ve lost creativity, patience, and meaning. What if boredom is the cur…",https://www.skeptic.com/article/boredom/,https://www.skeptic.com/content/images/size/w1200/2025/10/photo-1587014634329-dac89ca698d0.jpeg,,"All of humanitys problems stem from mans inability to sit quietly in a room alone.BLAISE PASCAL
According to the American Time Use Survey,1 conducted by the U.S. Bureau of Labor Statistics, American… [+37268 chars]",
629343a310864fc28b1e6fd42e0281bf,2025-10-14T23:00:19Z,'avalanche rescue',www.xda-developers.com,en,0.1,3 Disney game releases that positively changed gaming forever,"Everyone loves Disney, especially when it comes to video games. These are 3 Disney games that positively changed gaming forever!",https://www.xda-developers.com/3-disney-game-releases-that-positively-changed-gaming-forever/,https://static0.xdaimages.com/wordpress/wp-content/uploads/2025/10/3disneygamesthatpositivelychangedthings_featuredpic.jpg?w=1600&h=900&fit=crop,,"It can be argued that one of the most important companies to ever be involved with the arts is Disney. The company has influenced generations of people with their animations and feature films, and ha… [+8300 chars]",
