index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
504c26a1fc729e418d6cd48061168899,2025-11-03T16:40:30Z,'avalanche search',www.bbc.com,en,0.0,French climber among at least three killed in Nepal avalanche,A search is continuing in the Dolakha district for four other foreigners who are feared dead.,https://www.bbc.com/news/articles/c2kp42y5y81o?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D,https://s.yimg.com/ny/api/res/1.2/mlq4i8YSKFJQBkHEvTgI0w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NjI7Y2Y9d2VicA--/https://media.zenfs.com/en/bbc_us_articles_995/0319ae76974d169f3fb99599f7e14d5e,,"At least three climbers, including a French national and two Nepalese people, have died after being hit by an avalanche on a Himalayan peak in north-eastern Nepal, police say.
The incident happened … [+2139 chars]",
bfdbb5ea4b1ce208b063b0ee2482c9af,2025-11-03T20:42:24Z,'avalanche rescue',www.nbcnews.com,en,0.0,American climbers among 7 killed in avalanche on Nepal mountain,"Three American citizens were among seven people who were killed when an avalanche swept through a camp on Nepal’s Mount Yalung Ri, police said.",https://www.nbcnews.com/world/asia/nepal-avalanche-climbers-missing-mount-yalung-ri-police-army-rcna241644,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-11/251103-nepal-skiing-avalanche-gk-23e5a4.jpg",,"KATHMANDU, Nepal Three American citizens were among seven people who were killed when an avalanche swept through a camp on Nepals Mount Yalung Ri, police in the south Asian country said Monday. 
Two… [+1469 chars]",
0e5d06b07e29acaca799589b2aaff6dc,2025-11-03T22:44:48Z,'avalanche rescue',www.foxnews.com,en,0.0,Avalanche in Nepal kills 7 climbers on Mount Yalung Ri,Five foreign climbers and two Nepali guides were killed when an avalanche struck Mount Yalung Ri as rescue teams are facing rough terrain and poor weather.,https://www.foxnews.com/world/avalanche-nepal-kills-7-climbers-mount-yalung-ri,https://static.foxnews.com/foxnews.com/content/uploads/2025/10/everest-hikers-stranded-storm2.jpg,,"An avalanche on Monday swept through a camp in Nepal, killing five foreign climbers and two Nepali guides, officials said.
Five foreigners were injured at the base camp on Mount Yalung Ri, located a… [+1349 chars]",
4869df1e43c6d744f81fc153daeb9a7a,2025-11-04T01:50:00Z,'avalanche mountain',mypeoplesreview.com,en,0.0,Five foreigners and two Nepali climbers die,"Kathmandu, November 4: An avalanche at the base camp of Yalung Ri Mountain in the Rolwaling mountain range, located in […]
The post Five foreigners and two Nepali climbers die appeared first on Peoples' Review.",https://mypeoplesreview.com/2025/11/04/five-foreigners-and-two-nepali-climbers-die/,https://mypeoplesreview.com/wp-content/uploads/2025/11/Mt-Gauri-Sankar.jpeg,,"Kathmandu, November 4: An avalanche at the base camp of Yalung Ri Mountain in the Rolwaling mountain range, located in Gaurishankar Rural Municipality9 of Dolakha district, has claimed the lives of s… [+1567 chars]",
d3b4c5793e8f9dcf7e7b616905e9d5f0,2025-11-04T06:40:33Z,'avalanche search',abcnews.go.com,en,0.0,Rescuers in Nepal search for climbers' bodies after deadly avalanche,Rescuers are digging through ice and snow on a mountain in Nepal to recover the bodies of seven climbers who were killed by an avalanche,https://abcnews.go.com/International/wireStory/rescuers-nepal-search-climbers-bodies-after-deadly-avalanche-127160326,https://s.abcnews.com/images/US/abc_news_default_2000x2000_update_16x9_992.jpg,,"KATHMANDU, Nepal -- Rescuers were digging through ice and snow on a mountain in Nepal on Tuesday to recover the bodies of seven climbers who were killed by an avalanche a day earlier, officials said.… [+852 chars]",
62e4fcf4466b4622b8918b939af1b7ca,2025-11-04T08:13:58Z,'avalanche search',www.independent.ie,en,0.0,Nepalese search teams look for bodies after avalanche,Search teams are digging through ice and snow on a mountain in Nepal in a bid to recover the bodies of seven climbers who were killed by an avalanche.,https://www.independent.ie/world-news/asia-pacific/nepalese-search-teams-look-for-bodies-after-avalanche/a229904675.html,https://focus.independent.ie/thumbor/ljwzis2A_6CSoSHX4hH_dx5_vgw=/0x0:2894x1929/629x0/prod-mh-ireland/cf52d1a9-2baa-48d4-bfef-0a0c650d57c5/df125f60-42ec-4423-8532-0c8d9ffc3a66/cf52d1a9-2baa-48d4-bfef-0a0c650d57c5.jpg,,Search teams are digging through ice and snow on a mountain in Nepal in a bid to recover the bodies of seven climbers who were killed by an avalanche.The avalanche hit the base camp at Mount Yalung R… [+782 chars],
0ae720daf1efd042e0f17a80e602a237,2025-11-04T09:17:00Z,'avalanche search',news.sky.com,en,0.0,Avalanche survivor 'was lucky' as rescuers search for bodies of dead climbers,"A French climber has said she was ""lucky"" to survive an avalanche in which her husband died, as rescue teams work to recover the bodies of seven people killed in the Himalayas on Monday morning.",https://news.sky.com/story/rescuers-in-nepal-searching-for-bodies-of-seven-climbers-killed-in-mount-yalung-ri-avalanche-13463648,https://e3.365dm.com/25/11/1600x900/skynews-kathmandu-nepal-avalanche_7071390.jpg?20251104091551,,"A French climber has said she was ""lucky"" to survive an avalanche in which her husband died, as rescue teams work to recover the bodies of seven people killed in the Himalayas on Monday morning.
Isa… [+1972 chars]",
4d9de18f43f5ce5a4b99dedf083c4eba,2025-11-04T09:36:04Z,'avalanche rescue',english.khabarhub.com,en,0.0,"Five rescued, seven still missing after avalanche in Rolwaling Valley","BEDING: Five people, two foreigners and three Nepalis, injured in an avalanche in the Rolwaling Valley have been rescued by helicopter on Tuesday, while seven others remain missing. Chief District Officer Narayan Prasad Risal said the rescued climbers were ai…",https://english.khabarhub.com/2025/04/504329/,https://english.khabarhub.com/wp-content/uploads/2025/11/avalanche.jpg,,"BEDING: Five people, two foreigners and three Nepalis, injured in an avalanche in the Rolwaling Valley have been rescued by helicopter on Tuesday, while seven others remain missing.
Chief District O… [+809 chars]",
6a61a43c8ebaa96b89a3ca000c2279c8,2025-11-04T09:49:41Z,'avalanche snow',indianexpress.com,en,0.0,36 people ‘buried’ alive to test device that can be crucial for survival during an avalanche in snowy regions,Science news: A new study of an avalanche safety device has found out that it can help buried victims survive longer by maintaining oxygen levels and reducing carbon dioxide buildup.,https://indianexpress.com/article/technology/science/avalanche-safety-device-test-oxygen-supply-rescue-safeback-10345065/,https://images.indianexpress.com/2025/11/Avalanche-1.png,,A group of 36 volunteers were ‘buried’ alive during a study for science. The new clinical trial has found that a user-carried avalanche safety device can prevent hypoxemia and hypercapnia for a signi… [+2314 chars],
4efecf4fe1e640a7a3d16b04ab48898b,2025-11-04T11:02:20Z,'avalanche mountain',www.digitaljournal.com,en,0.0,Fierce mountain storms kill nine in Nepal,"Days of ferocious snowstorms and an avalanche in Nepal’s treacherous Himalayan peaks have killed nine people, including five Italian climbers, officials said Tuesday. The deaths occurred in two separate accidents since Friday. On Monday, an avalanche hit a gr…",https://www.digitaljournal.com/world/fierce-mountain-storms-kill-nine-in-nepal/article,https://www.digitaljournal.com/wp-content/uploads/2025/11/3b293a7aaefb2b29daf9d5cb14d7cff11a36fcc3.jpg,,"French climbers Didier Armand Berton (L) and Isabelle Thaon recounted from a Kathmandu hospital how they survived an avalanche that killed seven of their group - Copyright AFP Prakash MATHEMA
Days o… [+3051 chars]",
